Name,Unit,Equation,Format,Address,Length,Signed,ProgMin,ProgMax,WarnMin,WarnMax,Smoothing,Enabled,Tabs,Assign To
knks_thd[0],V,x / 51.2,%01.3f,0xd000efe3,1,false,0.0,5.0,-1.0,6.0,0.0,true,KNOCK,
knks_thd[1],V,x / 51.2,%01.3f,0xd000efe4,1,false,0.0,5.0,-1.0,6.0,0.0,true,KNOCK,
knks_thd[2],V,x / 51.2,%01.3f,0xd000efe5,1,false,0.0,5.0,-1.0,6.0,0.0,true,KNOCK,
knks_thd[3],V,x / 51.2,%01.3f,0xd000efe6,1,false,0.0,5.0,-1.0,6.0,0.0,true,KNOCK,
nl_c42b2[0],V,x / 13107,%01.3f,0xd00142b2,2,false,0.0,5.0,-1.0,6.0,0.0,true,KNOCK,
nl_c42b2[1],V,x / 13107,%01.3f,0xd00142b4,2,false,0.0,5.0,-1.0,6.0,0.0,true,KNOCK,
nl_c42b2[2],V,x / 13107,%01.3f,0xd00142b6,2,false,0.0,5.0,-1.0,6.0,0.0,true,KNOCK,
nl_c42b2[3],V,x / 13107,%01.3f,0xd00142b8,2,false,0.0,5.0,-1.0,6.0,0.0,true,KNOCK,
nl_c42c2[0],V,x / 13107,%01.3f,0xd00142c2,2,false,0.0,5.0,-1.0,6.0,0.0,true,KNOCK,
nl_c42c2[1],V,x / 13107,%01.3f,0xd00142c4,2,false,0.0,5.0,-1.0,6.0,0.0,true,KNOCK,
nl_c42c2[2],V,x / 13107,%01.3f,0xd00142c6,2,false,0.0,5.0,-1.0,6.0,0.0,true,KNOCK,
nl_c42c2[3],V,x / 13107,%01.3f,0xd00142c8,2,false,0.0,5.0,-1.0,6.0,0.0,true,KNOCK,
nl_c4274[0],V,x / 13107,%01.3f,0xd0014274,2,false,0.0,5.0,-1.0,6.0,0.0,true,KNOCK,
nl_c4274[1],V,x / 13107,%01.3f,0xd0014276,2,false,0.0,5.0,-1.0,6.0,0.0,true,KNOCK,
nl_c4274[2],V,x / 13107,%01.3f,0xd0014278,2,false,0.0,5.0,-1.0,6.0,0.0,true,KNOCK,
nl_c4274[3],V,x / 13107,%01.3f,0xd001427a,2,false,0.0,5.0,-1.0,6.0,0.0,true,KNOCK,
nl_c429c[0],V,x / 13107,%01.3f,0xd001429c,2,false,0.0,5.0,-1.0,6.0,0.0,true,KNOCK,
nl_c429c[1],V,x / 13107,%01.3f,0xd001429e,2,false,0.0,5.0,-1.0,6.0,0.0,true,KNOCK,
nl_c429c[2],V,x / 13107,%01.3f,0xd00142a0,2,false,0.0,5.0,-1.0,6.0,0.0,true,KNOCK,
nl_c429c[3],V,x / 13107,%01.3f,0xd00142a2,2,false,0.0,5.0,-1.0,6.0,0.0,true,KNOCK,
